Time [s],Temp [C],RH [%],h_t_w,h_m_w
360000.0,266.54999999999995,0.93,11.198,3.1401047e-08
363600.0,265.75,0.93,11.264,3.185183e-08
367200.0,266.54999999999995,0.92,11.32,3.2148169e-08
370800.0,267.84999999999997,0.84,11.858,3.582328e-08
374400.0,265.65,0.9,12.089,3.7514734e-08
378000.0,264.75,0.9,11.96,3.6405748e-08
381600.0,264.25,0.9,12.12,3.7370103e-08
385200.0,265.84999999999997,0.89,11.64,3.4126252e-08
388800.0,267.75,0.84,11.96,3.6427863e-08
392400.0,268.54999999999995,0.85,12.44,3.9858719e-08
396000.0,267.95,0.83,12.44,3.9954795e-08
399600.0,267.75,0.85,12.76,4.203131e-08
403200.0,266.65,0.83,12.44,3.9858719e-08
406800.0,265.75,0.81,11.165,3.1199363e-08
410400.0,264.54999999999995,0.82,11.561,3.3755576e-08
414000.0,263.75,0.8,11.132,3.0781635e-08
417600.0,263.15,0.8,11.396,3.2456612e-08
421200.0,263.25,0.82,11.363,3.2178654e-08
424800.0,263.95,0.81,11.363,3.2188524e-08
428400.0,263.34999999999997,0.83,12.6,4.0462922e-08
432000.0,263.95,0.85,11.231,3.1324404e-08
435600.0,263.15,0.86,11.495,3.3133162e-08
439200.0,263.54999999999995,0.87,12.28,3.824648e-08
442800.0,262.95,0.89,11.363,3.2218118e-08
446400.0,263.15,0.9,11.264,3.1504236e-08
450000.0,263.84999999999997,0.82,11.96,3.6129027e-08
453600.0,264.75,0.73,11.33,3.2028879e-08
457200.0,264.84999999999997,0.71,11.429,3.2775308e-08
460800.0,265.65,0.69,11.627,3.4102296e-08
464400.0,264.84999999999997,0.7,13.08,4.3873591e-08
468000.0,265.25,0.71,11.495,3.3224296e-08
471600.0,265.45,0.68,13.72,4.808243e-08
475200.0,267.34999999999997,0.66,12.6,4.0648377e-08
478800.0,269.25,0.63,12.28,3.8738317e-08
482400.0,268.75,0.63,14.04,5.082369e-08
486000.0,268.04999999999995,0.62,14.04,5.0747509e-08
489600.0,267.45,0.72,14.36,5.2790028e-08
493200.0,267.45,0.72,12.12,3.7677346e-08
496800.0,265.84999999999997,0.75,13.56,4.7331326e-08
500400.0,264.84999999999997,0.78,11.066,3.0463301e-08
504000.0,264.75,0.8,11.264,3.1687797e-08
507600.0,264.45,0.81,11.528,3.3433608e-08
511200.0,264.84999999999997,0.82,11.528,3.3403033e-08
514800.0,264.25,0.83,11.726,3.4760799e-08
518400.0,264.25,0.83,11.297,3.1848955e-08
522000.0,264.84999999999997,0.82,11.396,3.2506254e-08
525600.0,265.75,0.81,11.264,3.1687797e-08
