Time [s],Temp [C],RH [%],h_t_l,h_t_w,h_m_l,h_m_w,R,V,WDR [kg/m2.s]
0,272.65,0.83,11.528,13.56,3.5196e-08,4.942e-08,0.0,1.6,0.0
3600,272.34999999999997,0.78,11.561,13.72,3.5427e-08,5.054e-08,0.0,1.7,0.0
7200,272.25,0.8,11.495000000000001,13.4,3.4965e-08,4.83e-08,0.0,1.5,0.0
10800,271.34999999999997,0.83,11.528,13.56,3.5196e-08,4.942e-08,0.0,1.6,0.0
14400,272.15,0.81,11.626999999999999,14.04,3.5889e-08,5.278e-08,0.0,1.9,0.0
18000,271.84999999999997,0.85,11.528,13.56,3.5196e-08,4.942e-08,0.0,1.6,0.0
21600,271.54999999999995,0.85,11.693,14.36,3.6351e-08,5.502e-08,0.0,2.1,0.0
25200,269.15,0.89,11.66,14.2,3.612e-08,5.39e-08,0.0,2.0,0.0
28800,269.75,0.92,11.495000000000001,13.4,3.4965e-08,4.83e-08,0.0,1.5,0.0
32400,268.54999999999995,0.9,11.528,13.56,3.5196e-08,4.942e-08,0.0,1.6,0.0
36000,266.45,0.92,11.363,12.76,3.4041e-08,4.382e-08,0.0,1.1,0.0
39600,268.75,0.85,11.626999999999999,14.04,3.5889e-08,5.278e-08,0.0,1.9,0.0
43200,269.04999999999995,0.76,11.825,15.0,3.7275e-08,5.95e-08,0.0,2.5,0.0
46800,269.15,0.73,11.594000000000001,13.88,3.5658e-08,5.166000000000001e-08,0.0,1.8,0.0
50400,269.65,0.72,11.594000000000001,13.88,3.5658e-08,5.166000000000001e-08,0.0,1.8,0.0
54000,270.25,0.69,11.66,14.2,3.612e-08,5.39e-08,0.0,2.0,0.0
57600,270.84999999999997,0.68,11.495000000000001,13.4,3.4965e-08,4.83e-08,0.0,1.5,0.0
61200,271.45,0.68,11.528,13.56,3.5196e-08,4.942e-08,0.0,1.6,0.0
64800,271.75,0.71,11.693,14.36,3.6351e-08,5.502e-08,0.0,2.1,0.0
68400,273.54999999999995,0.74,11.957,15.64,3.8199e-08,6.398000000000001e-08,0.0,2.9,0.0
72000,272.45,0.92,12.617,18.84,4.2819e-08,8.638e-08,1.8,4.9,1.95804
75600,273.54999999999995,0.78,12.485,18.2,4.1895e-08,8.19e-08,0.1,4.5,0.0999
79200,274.65,0.7,12.815000000000001,19.8,4.4205000000000004e-08,9.31e-08,0.1,5.5,0.12210000000000001
82800,275.34999999999997,0.68,12.847999999999999,19.96,4.4435999999999995e-08,9.421999999999999e-08,0.1,5.6,0.12431999999999999
86400,275.65,0.64,13.211,21.72,4.6977e-08,1.0654e-07,0.0,6.7,0.0
90000,275.75,0.63,13.145,21.4,4.6514999999999997e-08,1.043e-07,0.0,6.5,0.0
93600,275.65,0.62,12.881,20.12,4.4667e-08,9.534e-08,0.0,5.7,0.0
97200,276.04999999999995,0.61,12.584,18.68,4.2588e-08,8.526e-08,0.0,4.8,0.0
100800,275.95,0.61,12.551,18.52,4.2357e-08,8.414e-08,0.0,4.7,0.0
104400,275.84999999999997,0.62,12.188,16.76,3.9816000000000004e-08,7.182e-08,0.0,3.6,0.0
108000,275.25,0.65,11.759,14.68,3.6813e-08,5.726e-08,0.0,2.3,0.0
111600,275.34999999999997,0.66,12.221,16.92,4.0047e-08,7.294000000000002e-08,0.0,3.7,0.0
115200,275.45,0.66,12.881,20.12,4.4667e-08,9.534e-08,0.0,5.7,0.0
118800,273.15,0.71,12.914,20.28,4.4897999999999996e-08,9.645999999999999e-08,0.0,5.8,0.0
122400,271.45,0.8,11.429,13.08,3.4503e-08,4.606e-08,0.0,1.3,0.0
126000,271.54999999999995,0.82,11.33,12.6,3.3809999999999996e-08,4.27e-08,0.0,1.0,0.0
129600,272.75,0.76,11.561,13.72,3.5427e-08,5.054e-08,0.0,1.7,0.0
133200,272.04999999999995,0.79,11.429,13.08,3.4503e-08,4.606e-08,0.0,1.3,0.0
136800,272.45,0.77,11.462,13.24,3.4734e-08,4.718e-08,0.0,1.4,0.0
140400,272.45,0.74,11.891,15.32,3.7737e-08,6.174e-08,0.0,2.7,0.0
144000,274.04999999999995,0.69,11.66,14.2,3.612e-08,5.39e-08,0.0,2.0,0.0
147600,277.04999999999995,0.58,11.858,15.16,3.7506000000000005e-08,6.062e-08,0.0,2.6,0.0
151200,277.45,0.56,12.518,18.36,4.2125999999999996e-08,8.302e-08,0.0,4.6,0.0
154800,277.15,0.56,12.617,18.84,4.2819e-08,8.638e-08,0.0,4.9,0.0
158400,277.15,0.56,12.914,20.28,4.4897999999999996e-08,9.645999999999999e-08,0.0,5.8,0.0
162000,277.15,0.57,12.716000000000001,19.32,4.3512e-08,8.974e-08,0.0,5.2,0.0
